epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1394.1,1.23366,1.3299,0.88557,0.9791,0.99787,0.98999,0.83842,0.64329,0.46973,0.81276,0.000416301,0.000416301,0.000416301
2,2784.14,1.07257,0.66756,0.86447,0.97966,0.99829,0.98902,0.84248,0.61005,0.41524,0.80611,0.000826096,0.000826096,0.000826096
3,4157.74,1.04379,0.6148,0.85808,0.96865,0.98694,0.98951,0.84214,0.64464,0.44959,0.80708,0.00122902,0.00122902,0.00122902
4,5529.3,1.00881,0.58566,0.85321,0.97979,0.99719,0.98894,0.83769,0.65162,0.42349,0.80819,0.00121906,0.00121906,0.00121906
5,6917.95,0.97351,0.54816,0.84686,0.98229,0.99651,0.99295,0.84458,0.63742,0.37795,0.80411,0.00120875,0.00120875,0.00120875
6,8304.47,0.96337,0.52453,0.84504,0.98176,0.99834,0.99273,0.85532,0.58076,0.35243,0.80168,0.00119844,0.00119844,0.00119844
7,9679.6,0.95409,0.50394,0.84543,0.98325,0.9967,0.9929,0.86189,0.56963,0.33676,0.80075,0.00118812,0.00118812,0.00118812
8,11057.9,0.91046,0.48846,0.83789,0.98194,0.99711,0.99211,0.85693,0.58377,0.34703,0.80193,0.00117781,0.00117781,0.00117781
9,12437.6,0.86131,0.46025,0.83106,0.98566,0.99409,0.99337,0.86474,0.56613,0.33478,0.79997,0.0011675,0.0011675,0.0011675
10,13813.6,0.85301,0.45511,0.82868,0.97152,0.9925,0.99005,0.87103,0.5403,0.33536,0.79667,0.00115719,0.00115719,0.00115719
11,15185,0.8375,0.44413,0.82547,0.98299,0.99774,0.9929,0.87782,0.53339,0.31219,0.7961,0.00114688,0.00114688,0.00114688
12,16558.2,0.83543,0.43519,0.82451,0.98288,0.99497,0.99103,0.86507,0.54046,0.30492,0.79719,0.00113656,0.00113656,0.00113656
13,17935,0.82303,0.4296,0.82419,0.98465,0.99346,0.98992,0.86364,0.56027,0.30898,0.7981,0.00112625,0.00112625,0.00112625
14,19313.6,0.81172,0.43222,0.82159,0.98253,0.99514,0.9924,0.87042,0.54228,0.30709,0.79628,0.00111594,0.00111594,0.00111594
15,20693.1,0.81525,0.42181,0.82245,0.98282,0.99494,0.99242,0.86499,0.57843,0.31074,0.79802,0.00110563,0.00110563,0.00110563
16,22068.3,0.80193,0.40978,0.82113,0.98386,0.99225,0.99315,0.88377,0.51072,0.28717,0.79413,0.00109531,0.00109531,0.00109531
17,23440.2,0.79808,0.40525,0.82042,0.98562,0.99171,0.9925,0.88266,0.51587,0.29021,0.7949,0.001085,0.001085,0.001085
18,24828.9,0.79242,0.40926,0.81906,0.98372,0.99616,0.99343,0.88104,0.52591,0.29309,0.79489,0.00107469,0.00107469,0.00107469
19,26203.2,0.80293,0.40691,0.82056,0.98536,0.99194,0.99318,0.86959,0.56478,0.30603,0.79798,0.00106437,0.00106437,0.00106437
20,27586,0.79448,0.40431,0.81983,0.9759,0.99499,0.99278,0.88456,0.52341,0.29772,0.79493,0.00105406,0.00105406,0.00105406
21,28964.1,0.78568,0.41122,0.81832,0.98184,0.99474,0.99282,0.87967,0.51952,0.28116,0.79467,0.00104375,0.00104375,0.00104375
22,30336.2,0.78427,0.40568,0.81933,0.98267,0.99538,0.9931,0.88273,0.52736,0.28508,0.7952,0.00103344,0.00103344,0.00103344
23,31704.8,0.77543,0.40084,0.81716,0.97806,0.98697,0.99157,0.87176,0.54077,0.29772,0.79679,0.00102312,0.00102312,0.00102312
24,33095.8,0.7817,0.39595,0.81682,0.98292,0.99564,0.99402,0.88433,0.52069,0.28696,0.79455,0.00101281,0.00101281,0.00101281
25,34472.7,0.77729,0.39076,0.817,0.98806,0.99309,0.99371,0.88659,0.50894,0.27029,0.79432,0.0010025,0.0010025,0.0010025
26,35846.3,0.77696,0.38948,0.81648,0.98732,0.99218,0.99296,0.88189,0.52375,0.28126,0.79438,0.000992188,0.000992188,0.000992188
27,37223.3,0.77051,0.39441,0.81682,0.98527,0.99334,0.9936,0.88786,0.50089,0.284,0.79316,0.000981875,0.000981875,0.000981875
28,38603.9,0.7639,0.38677,0.81564,0.98954,0.99251,0.99384,0.88836,0.50162,0.26865,0.79318,0.000971562,0.000971562,0.000971562
29,39979.4,0.76628,0.38993,0.8164,0.98837,0.99307,0.99347,0.88591,0.51078,0.26851,0.79387,0.00096125,0.00096125,0.00096125
30,41357.2,0.76998,0.3835,0.81699,0.98383,0.99577,0.99346,0.88666,0.51438,0.26631,0.79398,0.000950937,0.000950937,0.000950937
31,42737.5,0.75543,0.38285,0.8156,0.98174,0.99649,0.99323,0.88722,0.50593,0.26727,0.79379,0.000940625,0.000940625,0.000940625
32,44121.2,0.76678,0.38676,0.81566,0.98841,0.99332,0.99341,0.89108,0.49986,0.26212,0.7922,0.000930313,0.000930313,0.000930313
33,45490.9,0.75542,0.3811,0.81478,0.98837,0.99315,0.99361,0.88434,0.50956,0.26267,0.79327,0.00092,0.00092,0.00092
34,46862,0.74603,0.38256,0.8141,0.98567,0.9944,0.99325,0.8899,0.50374,0.26323,0.79287,0.000909688,0.000909688,0.000909688
35,48233.6,0.75095,0.37781,0.81487,0.98254,0.99442,0.99299,0.88848,0.50899,0.26363,0.79353,0.000899375,0.000899375,0.000899375
36,49602.4,0.74903,0.37996,0.81464,0.98837,0.99238,0.99286,0.88325,0.50444,0.26527,0.79328,0.000889062,0.000889062,0.000889062
37,50976.3,0.7394,0.3745,0.81289,0.98381,0.99544,0.99357,0.89017,0.50132,0.25865,0.79261,0.00087875,0.00087875,0.00087875
38,52349.2,0.75069,0.37963,0.81402,0.98537,0.99453,0.99334,0.89205,0.49324,0.25408,0.79192,0.000868437,0.000868437,0.000868437
39,53718.8,0.73899,0.37595,0.81278,0.98341,0.99395,0.99273,0.88996,0.49602,0.25554,0.79241,0.000858125,0.000858125,0.000858125
40,55149.9,0.74618,0.37087,0.81428,0.98745,0.99454,0.99382,0.88905,0.50565,0.25688,0.79347,0.000847813,0.000847813,0.000847813
41,1391.54,0.74481,0.37399,0.81423,0.98245,0.99795,0.99326,0.89125,0.4877,0.24918,0.79273,0.0008375,0.0008375,0.0008375
42,2780.69,0.74385,0.37825,0.81359,0.98446,0.99374,0.99333,0.89266,0.49371,0.25941,0.79279,0.000827187,0.000827187,0.000827187
43,4168.59,0.73998,0.37579,0.81379,0.98439,0.99724,0.99305,0.89335,0.49526,0.25255,0.79314,0.000816875,0.000816875,0.000816875
44,5545.1,0.7402,0.37657,0.81386,0.98364,0.99331,0.99287,0.89254,0.49384,0.25941,0.79236,0.000806562,0.000806562,0.000806562
45,6934.01,0.73581,0.37703,0.81247,0.98451,0.99205,0.9928,0.8945,0.4873,0.25668,0.79169,0.00079625,0.00079625,0.00079625
46,8316.03,0.73713,0.37014,0.81174,0.9898,0.99286,0.99395,0.89747,0.4885,0.25105,0.79182,0.000785938,0.000785938,0.000785938
47,9686.99,0.73615,0.37198,0.81323,0.98716,0.99346,0.99385,0.89526,0.49142,0.25028,0.79221,0.000775625,0.000775625,0.000775625
48,11062.4,0.73478,0.37148,0.81218,0.98908,0.99162,0.99377,0.89392,0.49381,0.25167,0.79208,0.000765313,0.000765313,0.000765313
49,12439.9,0.7307,0.36712,0.81266,0.98632,0.99244,0.99355,0.89385,0.49731,0.25461,0.7925,0.000755,0.000755,0.000755
50,13826.7,0.73259,0.36791,0.81148,0.99015,0.99211,0.9937,0.89842,0.48444,0.24429,0.79157,0.000744688,0.000744688,0.000744688
51,15227,0.7321,0.37083,0.81087,0.98687,0.99354,0.99358,0.8981,0.48183,0.24322,0.79144,0.000734375,0.000734375,0.000734375
52,16620.8,0.72683,0.3614,0.81038,0.99106,0.99133,0.99387,0.89552,0.48893,0.24509,0.79183,0.000724062,0.000724062,0.000724062
53,18005.1,0.72273,0.3643,0.81088,0.98623,0.99403,0.9938,0.89683,0.48653,0.24624,0.79174,0.00071375,0.00071375,0.00071375
54,19390.6,0.7233,0.36459,0.80997,0.99122,0.99186,0.99391,0.89766,0.48501,0.2421,0.79161,0.000703437,0.000703437,0.000703437
55,20768.1,0.72735,0.364,0.81103,0.98953,0.99396,0.9939,0.90067,0.48262,0.24058,0.79132,0.000693125,0.000693125,0.000693125
56,22147,0.71783,0.35855,0.81046,0.98999,0.99301,0.99384,0.89943,0.48378,0.24183,0.79155,0.000682813,0.000682813,0.000682813
57,23532.1,0.72108,0.3544,0.81059,0.99001,0.99294,0.99396,0.90161,0.48055,0.2401,0.79106,0.0006725,0.0006725,0.0006725
58,24914.9,0.71242,0.35244,0.80866,0.99129,0.993,0.99409,0.89944,0.48319,0.23798,0.79107,0.000662188,0.000662188,0.000662188
59,26297.3,0.71614,0.35881,0.81023,0.98973,0.99273,0.99399,0.90018,0.48161,0.24006,0.79119,0.000651875,0.000651875,0.000651875
60,27675.1,0.71158,0.35741,0.80999,0.98882,0.99297,0.99413,0.90115,0.47894,0.23758,0.79086,0.000641562,0.000641562,0.000641562
61,29056.6,0.71162,0.35784,0.80953,0.98423,0.99766,0.99405,0.90173,0.48029,0.23776,0.79094,0.00063125,0.00063125,0.00063125
62,30435.4,0.71333,0.36303,0.81077,0.9843,0.99783,0.994,0.90042,0.48226,0.23948,0.79107,0.000620938,0.000620938,0.000620938
63,31812.8,0.7043,0.35517,0.80878,0.99025,0.99128,0.99386,0.90062,0.47964,0.23694,0.79075,0.000610625,0.000610625,0.000610625
64,33190.5,0.71031,0.35464,0.80898,0.99093,0.99222,0.99401,0.90396,0.47455,0.23445,0.79049,0.000600313,0.000600313,0.000600313
65,34566.9,0.70446,0.35022,0.80921,0.99096,0.99199,0.99397,0.90481,0.4751,0.2334,0.79055,0.00059,0.00059,0.00059
66,35948.8,0.70818,0.35297,0.80931,0.99139,0.99364,0.99407,0.90207,0.4767,0.23415,0.79045,0.000579688,0.000579688,0.000579688
67,37336.9,0.70335,0.35388,0.8094,0.99218,0.9926,0.99419,0.90537,0.47053,0.23303,0.79012,0.000569375,0.000569375,0.000569375
68,38714.1,0.69595,0.3513,0.80841,0.99139,0.99189,0.99407,0.90404,0.47457,0.23392,0.79052,0.000559062,0.000559062,0.000559062
69,40094.8,0.69775,0.35042,0.80911,0.99115,0.9923,0.99413,0.90411,0.47426,0.23212,0.79026,0.00054875,0.00054875,0.00054875
70,41481.2,0.70049,0.34797,0.8095,0.99101,0.99262,0.99394,0.90383,0.47359,0.23142,0.79048,0.000538438,0.000538438,0.000538438
71,42863.4,0.69321,0.34726,0.80889,0.99301,0.99309,0.99418,0.90444,0.47074,0.22965,0.79003,0.000528125,0.000528125,0.000528125
72,44255,0.69728,0.34563,0.80803,0.99222,0.99391,0.99415,0.90488,0.47079,0.22875,0.78969,0.000517813,0.000517813,0.000517813
73,45643,0.69437,0.34616,0.80838,0.99113,0.99288,0.99389,0.90335,0.47324,0.22944,0.7902,0.0005075,0.0005075,0.0005075
74,47020.2,0.68749,0.34512,0.80799,0.99103,0.99292,0.99404,0.90414,0.47206,0.23023,0.79026,0.000497188,0.000497188,0.000497188
75,48402.9,0.69084,0.34377,0.80868,0.99193,0.99278,0.99415,0.90486,0.47183,0.22846,0.79005,0.000486875,0.000486875,0.000486875
76,49772.2,0.68908,0.34286,0.80823,0.99069,0.99284,0.99387,0.90323,0.4728,0.23106,0.7903,0.000476562,0.000476562,0.000476562
77,51148.5,0.68185,0.34251,0.80725,0.99106,0.99219,0.99401,0.90595,0.47098,0.22956,0.79015,0.00046625,0.00046625,0.00046625
78,52524.8,0.68916,0.34349,0.80781,0.99007,0.99374,0.99414,0.90481,0.47051,0.22867,0.79006,0.000455937,0.000455937,0.000455937
79,53906.9,0.68231,0.34219,0.80724,0.99028,0.99349,0.99368,0.90418,0.47141,0.22884,0.79023,0.000445625,0.000445625,0.000445625
80,55287.9,0.683,0.33602,0.80814,0.9898,0.99386,0.99428,0.9042,0.47259,0.22783,0.79011,0.000435312,0.000435312,0.000435312
81,56673.2,0.67931,0.33919,0.80694,0.99094,0.99277,0.99407,0.90499,0.47074,0.22739,0.79008,0.000425,0.000425,0.000425
82,58060.1,0.68073,0.33667,0.80718,0.99168,0.9931,0.99412,0.90571,0.46998,0.22743,0.79014,0.000414688,0.000414688,0.000414688
83,59440.7,0.68474,0.33879,0.80789,0.99068,0.99256,0.9941,0.90545,0.46891,0.22702,0.78988,0.000404375,0.000404375,0.000404375
84,60824.2,0.67609,0.33436,0.80749,0.99189,0.99253,0.99414,0.90649,0.46795,0.22492,0.78995,0.000394063,0.000394063,0.000394063
